objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
252,42101026500,286,1978,2025,1707915.2,380312.15,52889.19,271388.54,2412505.08,8435.33
253,42101026600,311,1994,2025,1710500.48,214387.43,43616.61,215022.57,2183527.09,7020.99
254,42101026700,363,1979,2025,1809695.8,271426.07,48605.76,301906.12,2431633.75,6698.72
255,42101026800,107,1981,2025,805731.13,187046.75,26505.33,111869.96,1131153.17,10571.52
256,42101026900,40,1997,2025,329307.91,72528.67,7558.49,45240.49,454635.56,11365.89
257,42101027000,57,1997,2025,487036.18,25161.61,8283.35,45315.67,565796.81,9926.26
258,42101027100,31,1995,2025,108988.75,14387.48,3683.85,15099.11,142159.19,4585.78
259,42101027200,76,2008,2025,225884.02,21003.2,7018.54,36001.88,289907.64,3814.57
260,42101027300,124,1997,2025,484771.84,87742.31,18862.79,90555.67,681932.61,5499.46
261,42101027401,81,1997,2025,226918.07,34091.55,8770.68,50396.82,320177.12,3952.8
262,42101027402,156,1992,2025,530173.22,90580.8,17249.91,114241.07,752245,4822.08
263,42101027500,139,1988,2025,694511.92,84509.23,16438.07,102946.84,898406.06,6463.35
264,42101027600,191,1980,2025,1138015.31,334012.84,43269.92,226416.67,1741714.74,9118.93
265,42101027700,337,1978,2025,1435853.69,400205.53,47879.22,370386.89,2254325.33,6689.39
266,42101027800,230,1994,2025,1187730.43,226532.24,41128.91,205518.61,1660910.19,7221.35
267,42101027901,363,1978,2025,1582006.29,530496.48,58638.2,440072.57,2611213.54,7193.43
268,42101027902,120,1986,2025,480741.37,151347.81,16391.43,114189.5,762670.11,6355.58
269,42101028000,402,1984,2025,1351712.42,471843.48,55287.16,389796.77,2268639.83,5643.38
270,42101028100,277,1978,2025,1107765.77,377138.99,42050.13,290048.39,1817003.28,6559.58
271,42101028200,228,1991,2025,811577.75,170826.13,30905.06,176254.13,1189563.07,5217.38
272,42101028300,435,1979,2025,2000171.42,643903.91,83478.67,511312.65,3238866.65,7445.67
273,42101028400,307,1978,2025,1196083.21,498734.3,51394.42,378598.57,2124810.5,6921.21
274,42101028500,92,1996,2025,295893.32,61871.95,14752.56,79085.09,451602.92,4908.73
275,42101028600,306,1996,2025,961997.84,196505.73,36743.53,249461.49,1444708.59,4721.27
276,42101028700,144,1978,2025,493104.67,148776.43,21304.48,128597.85,791783.43,5498.5
277,42101028800,224,1992,2025,768397.82,182463.09,39085.94,185821.76,1175768.61,5248.97
278,42101028901,124,1997,2025,346065.15,82043.35,13594.14,82013.55,523716.19,4223.52
279,42101028902,163,1997,2025,537193.15,107593.22,21237.22,110806.53,776830.12,4765.83
280,42101029000,154,1978,2025,618849.11,151869.45,24359.06,131309.95,926387.57,6015.5
281,42101029100,86,1978,2025,1282604.09,138848.58,41188.5,80828.33,1543469.5,17947.32
282,42101029200,103,1997,2025,385477.95,30518.92,10896.06,61779.29,488672.22,4744.39
283,42101029300,208,1983,2025,842786.56,328469.94,43957.53,256592.98,1471807.01,7076
284,42101029400,303,1978,2025,958097.54,283621.25,42606.53,308862.92,1593188.24,5258.05
285,42101029800,128,1997,2025,354575.98,42810.25,12829.27,85978.77,496194.27,3876.52
286,42101029900,227,1980,2025,789933.49,262273.49,36424.52,231512.87,1320144.37,5815.61
287,42101030000,424,1978,2025,1487840.39,510065.8,67860.06,423678.08,2489444.33,5871.33
288,42101030100,151,1985,2025,1046461.96,404156.45,46960.54,214597.49,1712176.44,11338.92
289,42101030200,121,1997,2025,518563.06,56888.65,17404.03,75114.48,667970.22,5520.42
290,42101030501,84,2001,2025,305886.2,82228.74,11899.67,65754.44,465769.05,5544.87
291,42101030502,78,1997,2025,399764.66,48273.74,11692.91,63686.75,523418.06,6710.49
292,42101030600,87,1997,2025,377669.31,83443.59,19470.01,72500.66,553083.57,6357.28
293,42101030700,40,1997,2025,270142.52,20622.12,5226.66,33610.41,329601.71,8240.04
294,42101030800,53,1995,2025,267684.38,33495.68,7589.37,36593.03,345362.46,6516.27
295,42101030900,31,1988,2025,194788.93,16673.53,4323.73,28468.97,244255.16,7879.2
296,42101031000,62,1997,2025,331777.3,61445.56,14851.4,59741.13,467815.39,7545.41
297,42101031101,71,2010,2025,239259.85,27557.92,9707.66,41054.43,317579.86,4472.96
298,42101031102,64,2012,2025,219089.12,20951.22,7401.43,35230.11,282671.88,4416.75
299,42101031200,43,1993,2025,140163.11,6491.1,2740.83,17764.23,167159.27,3887.42
300,42101031300,80,1997,2025,442253.79,71467.83,13461.58,50514.04,577697.24,7221.22
